"Kod";"Nazwa";"zameldowania ogółem;ogółem;2008;[osoba]";"zameldowania z miast;ogółem;2008;[osoba]";"zameldowania ze wsi;ogółem;2008;[osoba]";"wymeldowania ogółem;ogółem;2008;[osoba]";"wymeldowania do miast;ogółem;2008;[osoba]";"wymeldowania na wieś;ogółem;2008;[osoba]";"wymeldowania za granicę;ogółem;2008;[osoba]";"saldo migracji;ogółem;2008;[osoba]";"saldo migracji na 1000 ludności;ogółem;2008;[osoba]";
0209062;"Miłkowice (2)";137;110;26;89;64;24;1;48;7,9;
0209073;"Prochowice (3)";126;71;54;100;56;39;5;26;3,4;
0209074;"Prochowice - miasto (4)";60;29;30;68;38;27;3;-8;-2,1;
0209075;"Prochowice - obszar wiejski (5)";66;42;24;32;18;12;2;34;8,8;
0209082;"Ruja (2)";46;32;13;41;29;12;0;5;1,9;
0210000;"Powiat lubański";668;381;273;809;455;291;63;-141;-2,5;
0210011;"Lubań (1)";224;99;120;268;132;116;20;-44;-2,0;
0210021;"Świeradów-Zdrój (1)";56;41;15;75;45;19;11;-19;-4,2;
0210033;"Leśna (3)";137;82;50;158;95;50;13;-21;-2,0;
0210034;"Leśna - miasto (4)";66;29;33;85;41;36;8;-19;-4,1;
0210035;"Leśna - obszar wiejski (5)";71;53;17;73;54;14;5;-2;-0,3;
0210042;"Lubań (2)";76;55;19;119;64;48;7;-43;-6,5;
0210062;"Platerówka (2)";29;16;13;24;15;9;0;5;2,9;
0210072;"Siekierczyn (2)";66;39;25;46;31;9;6;20;4,4;
0211000;"Powiat lubiński";1557;1109;409;1886;772;999;115;-329;-3,1;
0211011;"Lubin (1)";707;380;301;1473;511;870;92;-766;-10,2;
0211022;"Lubin (2)";615;571;34;177;117;44;16;438;36,4;
0211032;"Rudna (2)";110;76;31;73;47;24;2;37;5,1;
0211043;"Ścinawa (3)";125;82;43;163;97;61;5;-38;-3,6;
0211044;"Ścinawa - miasto (4)";64;40;24;78;58;15;5;-14;-2,4;
0211045;"Ścinawa - obszar wiejski (5)";61;42;19;85;39;46;0;-24;-5,2;
0212000;"Powiat lwówecki";730;367;343;798;443;288;67;-68;-1,4;
0212013;"Gryfów Śląski (3)";133;55;69;165;76;58;31;-32;-3,2;
0212014;"Gryfów Śląski - miasto (4)";73;21;44;114;39;51;24;-41;-5,9;
0212015;"Gryfów Śląski - obszar wiejski (5)";60;34;25;51;37;7;7;9;2,9;
0212023;"Lubomierz (3)";118;67;51;76;38;37;1;42;7,1;
0212024;"Lubomierz - miasto (4)";40;22;18;29;12;16;1;11;6,1;
0212025;"Lubomierz - obszar wiejski (5)";78;45;33;47;26;21;0;31;7,6;
0212033;"Lwówek Śląski (3)";255;126;124;283;155;109;19;-28;-1,6;
0212034;"Lwówek Śląski - miasto (4)";97;25;68;162;64;87;11;-65;-6,8;
0212035;"Lwówek Śląski - obszar wiejski (5)";158;101;56;121;91;22;8;37;4,4;
0212043;"Mirsk (3)";151;79;69;171;110;58;3;-20;-2,2;
0212044;"Mirsk - miasto (4)";94;34;60;51;21;30;0;43;10,5;
0212045;"Mirsk - obszar wiejski (5)";57;45;9;120;89;28;3;-63;-12,8;
0212053;"Wleń (3)";73;40;30;103;64;26;13;-30;-6,6;
0212054;"Wleń - miasto (4)";39;19;18;38;20;14;4;1;0,5;
0212055;"Wleń - obszar wiejski (5)";34;21;12;65;44;12;9;-31;-11,6;
0213000;"Powiat milicki";435;228;183;465;252;178;35;-30;-0,8;
0213012;"Cieszków (2)";42;25;10;43;26;9;8;-1;-0,2;
0213022;"Krośnice (2)";70;36;33;83;54;28;1;-13;-1,6;
0213033;"Milicz (3)";323;167;140;339;172;141;26;-16;-0,7;
0213034;"Milicz - miasto (4)";142;34;102;217;70;128;19;-75;-6,3;
0213035;"Milicz - obszar wiejski (5)";181;133;38;122;102;13;7;59;4,8;
0214000;"Powiat oleśnicki";1305;804;461;1292;559;634;99;13;0,1;
0214011;"Oleśnica (1)";445;222;203;459;153;271;35;-14;-0,4;
0214023;"Bierutów (3)";72;43;28;114;62;46;6;-42;-4,1;
0214024;"Bierutów - miasto (4)";41;19;21;52;33;17;2;-11;-2,2;
0214025;"Bierutów - obszar wiejski (5)";31;24;7;62;29;29;4;-31;-6,1;
0214032;"Dobroszyce (2)";77;58;16;69;50;19;0;8;1,3;
0214042;"Dziadowa Kłoda (2)";42;27;14;45;13;29;3;-3;-0,7;
0214053;"Międzybórz (3)";73;48;22;74;19;41;14;-1;-0,2;
0214054;"Międzybórz - miasto (4)";29;15;13;46;7;29;10;-17;-7,2;
0214055;"Międzybórz - obszar wiejski (5)";44;33;9;28;12;12;4;16;5,9;
0214062;"Oleśnica (2)";262;212;44;155;118;32;5;107;9,3;
0214073;"Syców (3)";190;111;76;226;84;118;24;-36;-2,2;
0214074;"Syców - miasto (4)";84;30;51;152;35;103;14;-68;-6,4;
0214075;"Syców - obszar wiejski (5)";106;81;25;74;49;15;10;32;5,6;
0214083;"Twardogóra (3)";144;83;58;150;60;78;12;-6;-0,5;
0214084;"Twardogóra - miasto (4)";66;22;43;86;25;49;12;-20;-2,9;
0214085;"Twardogóra - obszar wiejski (5)";78;61;15;64;35;29;0;14;2,3;
0215000;"Powiat oławski";1024;650;324;871;360;398;113;153;2,1;
0215011;"Oława (1)";337;189;130;349;120;197;32;-12;-0,4;
0215022;"Domaniów (2)";52;33;18;38;22;16;0;14;2,6;
0215033;"Jelcz-Laskowice (3)";340;202;116;322;133;135;54;18;0,8;
0215034;"Jelcz-Laskowice - miasto (4)";217;111;91;243;83;120;40;-26;-1,7;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";123;91;25;79;50;15;14;44;6,7;
0215042;"Oława (2)";295;226;60;162;85;50;27;133;9,7;
0216000;"Powiat polkowicki";876;585;270;999;559;379;61;-123;-2,0;
0216013;"Chocianów (3)";201;137;60;186;118;56;12;15;1,2;
0216014;"Chocianów - miasto (4)";110;65;42;119;71;38;10;-9;-1,1;
0216015;"Chocianów - obszar wiejski (5)";91;72;18;67;47;18;2;24;5,2;
0216022;"Gaworzyce (2)";54;32;21;49;25;22;2;5;1,3;
0216032;"Grębocice (2)";73;51;22;91;55;30;6;-18;-3,4;
0216043;"Polkowice (3)";347;246;97;473;248;214;11;-126;-4,8;
0216044;"Polkowice - miasto (4)";240;144;92;391;180;200;11;-151;-6,8;
0216045;"Polkowice - obszar wiejski (5)";107;102;5;82;68;14;0;25;6,4;
0216053;"Przemków (3)";111;62;37;136;65;41;30;-25;-2,9;
0216054;"Przemków - miasto (4)";67;30;26;95;47;24;24;-28;-4,3;
0216055;"Przemków - obszar wiejski (5)";44;32;11;41;18;17;6;3;1,3;
0216062;"Radwanice (2)";90;57;33;64;48;16;0;26;5,7;
0217000;"Powiat strzeliński";520;236;261;522;276;214;32;-2;0,0;
0217012;"Borów (2)";56;28;25;37;17;19;1;19;3,7;
0217022;"Kondratowice (2)";33;24;9;49;32;15;2;-16;-3,5;
0217032;"Przeworno (2)";53;26;23;50;26;19;5;3;0,6;
0217043;"Strzelin (3)";276;105;159;282;149;118;15;-6;-0,3;
0217044;"Strzelin - miasto (4)";157;33;115;158;66;79;13;-1;-0,1;
0217045;"Strzelin - obszar wiejski (5)";119;72;44;124;83;39;2;-5;-0,5;
0217053;"Wiązów (3)";102;53;45;104;52;43;9;-2;-0,3;
0217054;"Wiązów - miasto (4)";45;22;21;25;3;17;5;20;8,5;
0217055;"Wiązów - obszar wiejski (5)";57;31;24;79;49;26;4;-22;-4,3;
0218000;"Powiat średzki";885;553;313;622;343;238;41;263;5,3;
0218012;"Kostomłoty (2)";110;50;58;77;34;38;5;33;4,8;
0218022;"Malczyce (2)";76;49;25;74;44;25;5;2;0,3;
0218032;"Miękinia (2)";326;289;34;163;107;36;20;163;13,6;
0218043;"Środa Śląska (3)";303;137;156;227;120;96;11;76;3,9;
0218044;"Środa Śląska - miasto (4)";136;51;79;88;30;53;5;48;5,4;
0218045;"Środa Śląska - obszar wiejski (5)";167;86;77;139;90;43;6;28;2,7;
0218052;"Udanin (2)";70;28;40;81;38;43;0;-11;-2,0;
0219000;"Powiat świdnicki";1556;950;490;1844;880;738;226;-288;-1,8;
0219011;"Świdnica (1)";477;266;166;648;260;307;81;-171;-2,9;
0219021;"Świebodzice (1)";229;140;61;287;145;88;54;-58;-2,5;
0219032;"Dobromierz (2)";81;47;31;72;37;23;12;9;1,7;
0219043;"Jaworzyna Śląska (3)";127;80;37;128;78;37;13;-1;-0,1;
0219044;"Jaworzyna Śląska - miasto (4)";50;31;14;72;39;21;12;-22;-4,2;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";77;49;23;56;39;16;1;21;4,1;
0219052;"Marcinowice (2)";56;38;16;97;42;42;13;-41;-6,4;
0219063;"Strzegom (3)";201;96;93;301;136;140;25;-100;-3,7;
0219064;"Strzegom - miasto (4)";117;39;70;164;67;85;12;-47;-2,8;
0219065;"Strzegom - obszar wiejski (5)";84;57;23;137;69;55;13;-53;-5,3;
0219072;"Świdnica (2)";238;200;32;164;106;45;13;74;4,8;
0219083;"Żarów (3)";147;83;54;147;76;56;15;0;0,0;
0219084;"Żarów - miasto (4)";85;46;30;67;28;28;11;18;2,6;
0219085;"Żarów - obszar wiejski (5)";62;37;24;80;48;28;4;-18;-3,3;
0220000;"Powiat trzebnicki";1407;990;390;1028;532;404;92;379;4,8;
0220013;"Oborniki Śląskie (3)";429;338;82;226;132;72;22;203;11,1;
0220014;"Oborniki Śląskie - miasto (4)";167;111;51;116;56;51;9;51;6,0;
0220015;"Oborniki Śląskie - obszar wiejski (5)";262;227;31;110;76;21;13;152;15,6;
0220023;"Prusice (3)";95;53;41;100;58;40;2;-5;-0,5;
0220024;"Prusice - miasto (4)";19;5;14;35;18;17;0;-16;-7,2;
0220025;"Prusice - obszar wiejski (5)";76;48;27;65;40;23;2;11;1,6;
0220033;"Trzebnica (3)";378;241;125;317;137;143;37;61;2,8;
0220034;"Trzebnica - miasto (4)";218;129;79;197;71;103;23;21;1,7;
0220035;"Trzebnica - obszar wiejski (5)";160;112;46;120;66;40;14;40;4,1;
0220042;"Wisznia Mała (2)";268;234;33;131;93;37;1;137;16,5;
0220052;"Zawonia (2)";86;45;40;62;28;33;1;24;4,3;
0220063;"Żmigród (3)";151;79;69;192;84;79;29;-41;-2,7;
0220064;"Żmigród - miasto (4)";61;18;40;73;18;43;12;-12;-1,8;
0220065;"Żmigród - obszar wiejski (5)";90;61;29;119;66;36;17;-29;-3,4;
0221000;"Powiat wałbrzyski";1308;981;271;2058;1238;554;266;-750;-4,1;
0221011;"Boguszów-Gorce (1)";142;103;32;231;141;44;46;-89;-5,4;
0221021;"Jedlina-Zdrój (1)";61;50;9;41;25;12;4;20;4,0;
0221031;"Szczawno-Zdrój (1)";118;112;6;89;69;8;12;29;5,2;
0221042;"Czarny Bór (2)";45;32;11;58;45;9;4;-13;-2,7;
0221053;"Głuszyca (3)";81;62;17;116;56;46;14;-35;-3,8;
0221054;"Głuszyca - miasto (4)";37;22;13;82;30;40;12;-45;-6,5;
0221055;"Głuszyca - obszar wiejski (5)";44;40;4;34;26;6;2;10;4,3;
0221063;"Mieroszów (3)";127;95;29;107;58;40;9;20;2,7;
0221064;"Mieroszów - miasto (4)";59;35;22;64;27;32;5;-5;-1,1;
0221065;"Mieroszów - obszar wiejski (5)";68;60;7;43;31;8;4;25;8,2;
0221072;"Stare Bogaczowice (2)";68;60;7;51;35;15;1;17;4,1;
0221082;"Walim (2)";87;75;11;64;50;14;0;23;4,0;
0222000;"Powiat wołowski";495;282;195;551;332;177;42;-56;-1,2;
0222013;"Brzeg Dolny (3)";146;97;42;205;112;67;26;-59;-3,6;
0222014;"Brzeg Dolny - miasto (4)";113;71;35;161;83;53;25;-48;-3,8;
0222015;"Brzeg Dolny - obszar wiejski (5)";33;26;7;44;29;14;1;-11;-3,2;
0222022;"Wińsko (2)";89;52;37;124;88;36;0;-35;-4,1;
0222033;"Wołów (3)";260;133;116;222;132;74;16;38;1,7;
0222034;"Wołów - miasto (4)";155;67;81;101;53;42;6;54;4,4;
0222035;"Wołów - obszar wiejski (5)";105;66;35;121;79;32;10;-16;-1,6;
0223000;"Powiat wrocławski";3380;2774;540;1448;897;461;90;1932;18,0;
0223012;"Czernica (2)";447;394;45;133;95;34;4;314;31,0;
0223022;"Długołęka (2)";650;588;52;262;193;64;5;388;17,6;
0223032;"Jordanów Śląski (2)";33;13;19;38;8;27;3;-5;-1,6;
0223043;"Kąty Wrocławskie (3)";578;455;116;290;170;109;11;288;15,5;
0223044;"Kąty Wrocławskie - miasto (4)";138;86;48;69;33;30;6;69;12,6;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";440;369;68;221;137;79;5;219;16,8;
0223052;"Kobierzyce (2)";686;571;107;221;150;63;8;465;32,1;
0223062;"Mietków (2)";36;23;13;39;19;16;4;-3;-0,8;
0223073;"Sobótka (3)";200;112;78;170;77;65;28;30;2,4;
0223074;"Sobótka - miasto (4)";122;62;54;97;44;38;15;25;3,7;
0223075;"Sobótka - obszar wiejski (5)";78;50;24;73;33;27;13;5;0,9;
0223083;"Siechnice (3)";512;431;69;192;135;37;20;320;22,1;
0223084;"Siechnice - miasto (4)";0;0;0;1;1;0;0;-1;-0,3;
0223085;"Siechnice - obszar wiejski (5)";512;431;69;191;134;37;20;321;30,2;
0223092;"Żórawina (2)";238;187;41;103;50;46;7;135;16,6;
0224000;"Powiat ząbkowicki";870;448;352;921;472;356;93;-51;-0,7;
0224013;"Bardo (3)";55;35;18;74;44;28;2;-19;-3,4;
0224014;"Bardo - miasto (4)";17;10;6;39;22;15;2;-22;-8,0;
0224015;"Bardo - obszar wiejski (5)";38;25;12;35;22;13;0;3;1,1;
0224022;"Ciepłowody (2)";28;8;20;51;32;19;0;-23;-7,3;
0224032;"Kamieniec Ząbkowicki (2)";120;70;27;119;72;39;8;1;0,1;
0224042;"Stoszowice (2)";91;55;27;73;43;17;13;18;3,3;
0224053;"Ząbkowice Śląskie (3)";265;121;115;308;133;130;45;-43;-1,9;
0224054;"Ząbkowice Śląskie - miasto (4)";183;71;92;205;76;95;34;-22;-1,4;
0224055;"Ząbkowice Śląskie - obszar wiejski (5)";82;50;23;103;57;35;11;-21;-3,0;
0224063;"Ziębice (3)";244;129;112;236;107;107;22;8;0,4;
0224064;"Ziębice - miasto (4)";114;35;77;116;36;65;15;-2;-0,2;
0224065;"Ziębice - obszar wiejski (5)";130;94;35;120;71;42;7;10;1,1;
0224073;"Złoty Stok (3)";67;30;33;60;41;16;3;7;1,5;
0224074;"Złoty Stok - miasto (4)";41;21;17;46;32;11;3;-5;-1,7;
0224075;"Złoty Stok - obszar wiejski (5)";26;9;16;14;9;5;0;12;6,6;
0225000;"Powiat zgorzelecki";1058;604;408;1369;721;443;205;-311;-3,3;
0225011;"Zawidów (1)";57;26;30;70;35;22;13;-13;-3,0;
0225021;"Zgorzelec (1)";299;154;117;471;188;185;98;-172;-5,3;
0225033;"Bogatynia (3)";275;129;136;401;230;132;39;-126;-5,0;
0225034;"Bogatynia - miasto (4)";180;46;126;257;112;109;36;-77;-4,1;
0225035;"Bogatynia - obszar wiejski (5)";95;83;10;144;118;23;3;-49;-7,9;
0225043;"Pieńsk (3)";104;69;35;116;78;30;8;-12;-1,3;
0225044;"Pieńsk - miasto (4)";60;30;30;62;35;19;8;-2;-0,3;
0225045;"Pieńsk - obszar wiejski (5)";44;39;5;54;43;11;0;-10;-2,9;
0225052;"Sulików (2)";80;63;16;75;51;14;10;5;0,8;
0225063;"Węgliniec (3)";83;49;33;125;63;39;23;-42;-4,9;
0225064;"Węgliniec - miasto (4)";34;12;21;55;24;23;8;-21;-7,0;
0225065;"Węgliniec - obszar wiejski (5)";49;37;12;70;39;16;15;-21;-3,7;
0225072;"Zgorzelec (2)";160;114;41;111;76;21;14;49;6,1;
0226000;"Powiat złotoryjski";489;288;185;622;318;256;48;-133;-2,9;
0226011;"Wojcieszów (1)";25;7;18;33;11;22;0;-8;-2,0;
0226021;"Złotoryja (1)";162;82;72;217;99;101;17;-55;-3,3;
0226032;"Pielgrzymka (2)";41;28;11;74;28;40;6;-33;-7,1;
0226043;"Świerzawa (3)";104;53;49;132;92;28;12;-28;-3,6;
0226044;"Świerzawa - miasto (4)";47;11;35;48;25;15;8;-1;-0,4;
0226045;"Świerzawa - obszar wiejski (5)";57;42;14;84;67;13;4;-27;-5,0;
0226052;"Zagrodno (2)";48;30;18;76;37;36;3;-28;-5,0;
0226062;"Złotoryja (2)";109;88;17;90;51;29;10;19;2,7;
0261000;"Powiat m. Jelenia Góra";858;497;315;1153;456;475;222;-295;-3,4;
0261011;"Jelenia Góra (1)";858;497;315;1153;456;475;222;-295;-3,4;
0262000;"Powiat m. Legnica";789;371;372;1113;481;590;42;-324;-3,1;
0262011;"Legnica (1)";789;371;372;1113;481;590;42;-324;-3,1;
0264000;"Powiat m. Wrocław";6582;3871;1978;6399;2117;3703;579;183;0,3;
0264011;"Wrocław (1)";6582;3871;1978;6399;2117;3703;579;183;0,3;
0400000;"KUJAWSKO-POMORSKIE";23974;13373;10013;25655;11610;12835;1210;-1681;-0,8;
0401000;"Powiat aleksandrowski";726;418;295;675;364;290;21;51;0,9;
0401011;"Aleksandrów Kujawski (1)";167;73;92;156;64;86;6;11;0,9;
0401021;"Ciechocinek (1)";164;106;50;136;74;51;11;28;2,6;
0401031;"Nieszawa (1)";21;11;9;22;14;5;3;-1;-0,5;
0401042;"Aleksandrów Kujawski (2)";172;119;53;137;101;35;1;35;3,1;
0401052;"Bądkowo (2)";39;14;25;49;31;18;0;-10;-2,2;
0401062;"Koneck (2)";36;8;27;23;17;6;0;13;3,9;
0401072;"Raciążek (2)";58;48;10;29;14;15;0;29;9,2;
0401082;"Waganiec (2)";47;23;23;70;35;35;0;-23;-5,2;
0401092;"Zakrzewo (2)";22;16;6;53;14;39;0;-31;-8,5;
0402000;"Powiat brodnicki";1040;469;547;1036;462;528;46;4;0,1;
0402011;"Brodnica (1)";348;120;212;348;81;236;31;0;0,0;
0402022;"Bobrowo (2)";49;18;31;120;58;54;8;-71;-11,5;
0402032;"Brodnica (2)";216;153;62;78;57;20;1;138;20,4;
0402042;"Brzozie (2)";49;21;28;38;15;23;0;11;3,1;
0402053;"Górzno (3)";56;8;47;56;33;23;0;0;0,0;
0402054;"Górzno - miasto (4)";29;2;27;27;13;14;0;2;1,5;
0402055;"Górzno - obszar wiejski (5)";27;6;20;29;20;9;0;-2;-0,8;
0402062;"Bartniczka (2)";38;21;15;69;28;41;0;-31;-6,7;
0402073;"Jabłonowo Pomorskie (3)";122;45;73;148;85;57;6;-26;-2,9;
0402074;"Jabłonowo Pomorskie - miasto (4)";70;20;50;48;33;13;2;22;6,0;
0402075;"Jabłonowo Pomorskie - obszar wiejski (5)";52;25;23;100;52;44;4;-48;-9,0;
0402082;"Osiek (2)";47;26;21;60;35;25;0;-13;-3,2;
0402092;"Świedziebnia (2)";42;17;25;54;25;29;0;-12;-2,4;
0402102;"Zbiczno (2)";73;40;33;65;45;20;0;8;1,8;
0403000;"Powiat bydgoski";2835;2325;496;1169;725;403;41;1666;16,6;
0403012;"Białe Błota (2)";794;717;74;180;126;54;0;614;39,6;
0403022;"Dąbrowa Chełmińska (2)";165;137;28;81;46;22;13;84;11,4;
0403032;"Dobrcz (2)";273;223;49;107;61;42;4;166;17,5;
0403043;"Koronowo (3)";315;196;116;268;168;95;5;47;2,0;
0403044;"Koronowo - miasto (4)";171;89;80;114;56;55;3;57;5,2;
0403045;"Koronowo - obszar wiejski (5)";144;107;36;154;112;40;2;-10;-0,8;
