"Kod";"Nazwa";"zameldowania ogółem;ogółem;2023;[osoba]";"zameldowania z miast;ogółem;2023;[osoba]";"zameldowania ze wsi;ogółem;2023;[osoba]";"wymeldowania ogółem;ogółem;2023;[osoba]";"wymeldowania do miast;ogółem;2023;[osoba]";"wymeldowania na wieś;ogółem;2023;[osoba]";"saldo migracji;ogółem;2023;[osoba]";"saldo migracji na 1000 ludności;ogółem;2023;[osoba]";
1005032;"Chąśno (2)";15;5;10;21;9;12;-6;-2,1;
1005042;"Domaniewice (2)";31;17;14;38;19;19;-7;-1,5;
1005052;"Kiernozia (2)";20;5;15;37;17;20;-17;-5,5;
1005062;"Kocierzew Południowy (2)";9;8;1;42;22;20;-33;-8,2;
1005072;"Łowicz (2)";100;61;37;62;43;19;38;4,9;
1005082;"Łyszkowice (2)";45;17;27;43;17;26;2;0,3;
1005092;"Nieborów (2)";106;65;37;75;35;40;31;3,4;
1005102;"Zduny (2)";26;16;10;43;34;9;-17;-3,3;
1006000;"Powiat łódzki wschodni";1341;1091;235;669;395;266;672;9,0;
1006022;"Andrespol (2)";341;302;33;106;79;26;235;16,0;
1006032;"Brójce (2)";97;72;25;52;34;18;45;6,2;
1006073;"Koluszki (3)";268;196;70;240;122;117;28;1,2;
1006074;"Koluszki - miasto (4)";98;50;47;129;51;77;-31;-2,6;
1006075;"Koluszki - obszar wiejski (5)";170;146;23;111;71;40;59;5,5;
1006082;"Nowosolna (2)";152;139;11;53;37;14;99;17,5;
1006113;"Tuszyn (3)";248;178;66;113;59;54;135;10,6;
1006114;"Tuszyn - miasto (4)";102;58;43;62;25;37;40;5,6;
1006115;"Tuszyn - obszar wiejski (5)";146;120;23;51;34;17;95;16,9;
1007000;"Powiat opoczyński";558;246;300;815;415;373;-257;-3,6;
1007012;"Białaczów (2)";42;22;20;45;26;18;-3;-0,5;
1007023;"Drzewica (3)";77;19;57;113;66;47;-36;-3,7;
1007024;"Drzewica - miasto (4)";41;12;29;29;16;13;12;3,4;
1007025;"Drzewica - obszar wiejski (5)";36;7;28;84;50;34;-48;-7,6;
1007032;"Mniszków (2)";51;21;30;33;14;19;18;3,8;
1007043;"Opoczno (3)";203;85;114;410;213;172;-207;-6,5;
1007044;"Opoczno - miasto (4)";100;25;72;292;135;133;-192;-10,0;
1007045;"Opoczno - obszar wiejski (5)";103;60;42;118;78;39;-15;-1,2;
1007052;"Paradyż (2)";26;10;16;50;19;31;-24;-5,7;
1007062;"Poświętne (2)";12;6;5;36;18;17;-24;-8,2;
1007072;"Sławno (2)";71;38;29;78;37;41;-7;-0,9;
1007082;"Żarnów (2)";76;45;29;50;22;28;26;4,7;
1008000;"Powiat pabianicki";1752;1364;359;1193;563;620;559;4,7;
1008011;"Konstantynów Łódzki (1)";356;295;52;180;94;82;176;9,2;
1008021;"Pabianice (1)";419;237;167;676;234;438;-257;-4,2;
1008032;"Dłutów (2)";116;75;37;26;21;5;90;18,2;
1008042;"Dobroń (2)";140;127;13;65;41;24;75;9,3;
1008052;"Ksawerów (2)";142;126;16;79;58;20;63;8,2;
1008072;"Pabianice (2)";303;277;26;67;47;19;236;26,6;
1009000;"Powiat pajęczański";344;164;176;501;245;254;-157;-3,2;
1009013;"Działoszyn (3)";71;26;45;134;72;61;-63;-5,4;
1009014;"Działoszyn - miasto (4)";21;5;16;64;33;30;-43;-8,1;
1009015;"Działoszyn - obszar wiejski (5)";50;21;29;70;39;31;-20;-3,2;
1009022;"Kiełczygłów (2)";18;5;13;42;17;25;-24;-6,3;
1009032;"Nowa Brzeźnica (2)";42;28;14;37;16;21;5;1,1;
1009043;"Pajęczno (3)";75;38;35;110;58;51;-35;-3,1;
1009044;"Pajęczno - miasto (4)";54;28;24;71;38;32;-17;-2,7;
1009045;"Pajęczno - obszar wiejski (5)";21;10;11;39;20;19;-18;-3,8;
1009052;"Rząśnia (2)";47;22;25;51;22;29;-4;-0,8;
1009062;"Siemkowice (2)";19;7;10;34;19;15;-15;-3,4;
1009072;"Strzelce Wielkie (2)";27;16;11;52;25;27;-25;-6,0;
1009082;"Sulmierzyce (2)";45;22;23;41;16;25;4;0,9;
1010000;"Powiat piotrkowski";858;584;266;806;470;331;52;0,6;
1010012;"Aleksandrów (2)";47;32;13;41;17;24;6;1,4;
1010022;"Czarnocin (2)";31;14;17;45;28;17;-14;-3,5;
1010032;"Gorzkowice (2)";58;26;29;73;44;29;-15;-1,8;
1010042;"Grabica (2)";61;38;23;34;26;8;27;4,5;
1010052;"Łęki Szlacheckie (2)";45;24;21;47;17;30;-2;-0,6;
1010062;"Moszczenica (2)";103;76;26;106;71;34;-3;-0,2;
1010072;"Ręczno (2)";30;12;18;26;11;15;4;1,2;
1010093;"Sulejów (3)";193;154;39;145;89;56;48;2,9;
1010094;"Sulejów - miasto (4)";56;42;14;63;30;33;-7;-1,2;
1010095;"Sulejów - obszar wiejski (5)";137;112;25;82;59;23;55;5,2;
1010102;"Wola Krzysztoporska (2)";98;79;19;98;59;39;0;0,0;
1011000;"Powiat poddębicki";402;245;154;390;209;179;12;0,3;
1011012;"Dalików (2)";78;61;16;33;23;9;45;11,3;
1011022;"Pęczniew (2)";45;31;14;27;14;13;18;5,3;
1011033;"Poddębice (3)";99;60;39;126;62;63;-27;-1,8;
1011034;"Poddębice - miasto (4)";36;16;20;70;35;35;-34;-5,0;
1011035;"Poddębice - obszar wiejski (5)";63;44;19;56;27;28;7;0,9;
1011043;"Uniejów (3)";86;39;47;94;51;43;-8;-1,2;
1011044;"Uniejów - miasto (4)";59;22;37;32;16;16;27;9,1;
1011045;"Uniejów - obszar wiejski (5)";27;17;10;62;35;27;-35;-9,2;
1011052;"Wartkowice (2)";48;17;30;63;30;33;-15;-2,5;
1011062;"Zadzim (2)";46;37;8;47;29;18;-1;-0,2;
1012000;"Powiat radomszczański";818;403;391;1128;523;590;-310;-2,9;
1012011;"Radomsko (1)";219;64;143;394;160;222;-175;-4,0;
1012022;"Dobryszyce (2)";82;52;30;49;28;21;33;7,2;
1012032;"Gidle (2)";52;24;27;55;33;22;-3;-0,5;
1012042;"Gomunice (2)";40;20;15;63;28;35;-23;-4,1;
1012053;"Kamieńsk (3)";65;32;33;88;47;41;-23;-4,1;
1012054;"Kamieńsk - miasto (4)";31;12;19;40;17;23;-9;-3,5;
1012055;"Kamieńsk - obszar wiejski (5)";34;20;14;48;30;18;-14;-4,7;
1012062;"Kobiele Wielkie (2)";34;22;11;31;14;17;3;0,7;
1012072;"Kodrąb (2)";20;11;9;55;25;30;-35;-8,1;
1012082;"Lgota Wielka (2)";51;23;27;74;26;45;-23;-5,5;
1012092;"Ładzice (2)";37;19;18;42;21;21;-5;-1,1;
1012102;"Masłowice (2)";26;9;17;43;12;31;-17;-4,4;
1012113;"Przedbórz (3)";56;31;24;92;41;51;-36;-5,5;
1012114;"Przedbórz - miasto (4)";11;3;8;53;27;26;-42;-13,2;
1012115;"Przedbórz - obszar wiejski (5)";45;28;16;39;14;25;6;1,8;
1012122;"Radomsko (2)";58;41;15;49;31;18;9;1,7;
1012132;"Wielgomłyny (2)";34;18;15;50;28;22;-16;-3,7;
1012142;"Żytno (2)";44;37;7;43;29;14;1;0,2;
1013000;"Powiat rawski";375;192;179;553;248;303;-178;-3,8;
1013011;"Rawa Mazowiecka (1)";103;29;71;237;91;146;-134;-8,4;
1013023;"Biała Rawska (3)";71;41;29;109;49;59;-38;-3,5;
1013024;"Biała Rawska - miasto (4)";9;4;5;44;18;26;-35;-11,6;
1013025;"Biała Rawska - obszar wiejski (5)";62;37;24;65;31;33;-3;-0,4;
1013032;"Cielądz (2)";44;28;16;43;27;16;1;0,3;
1013042;"Rawa Mazowiecka (2)";109;70;39;83;38;44;26;3,0;
1013052;"Regnów (2)";14;8;6;20;13;7;-6;-3,5;
1013062;"Sadkowice (2)";34;16;18;61;30;31;-27;-5,3;
1014000;"Powiat sieradzki";944;464;456;1259;583;659;-315;-2,8;
1014011;"Sieradz (1)";254;81;162;480;182;292;-226;-5,8;
1014023;"Błaszki (3)";92;41;48;157;77;72;-65;-4,7;
1014024;"Błaszki - miasto (4)";13;2;11;34;15;18;-21;-10,5;
1014025;"Błaszki - obszar wiejski (5)";79;39;37;123;62;54;-44;-3,7;
1014032;"Brąszewice (2)";24;7;17;39;14;25;-15;-3,5;
1014042;"Brzeźnio (2)";77;40;36;52;29;23;25;4,0;
1014052;"Burzenin (2)";47;32;14;66;37;29;-19;-3,6;
1014062;"Goszczanów (2)";28;8;19;63;33;30;-35;-6,9;
1014072;"Klonowa (2)";11;6;5;35;12;20;-24;-8,7;
1014082;"Sieradz (2)";179;135;41;108;76;32;71;6,6;
1014093;"Warta (3)";102;62;37;115;58;57;-13;-1,1;
1014094;"Warta - miasto (4)";6;4;2;38;15;23;-32;-10,8;
1014095;"Warta - obszar wiejski (5)";96;58;35;77;43;34;19;2,1;
1014102;"Wróblew (2)";57;27;30;46;24;22;11;1,9;
1014113;"Złoczew (3)";73;25;47;98;41;57;-25;-3,7;
1014114;"Złoczew - miasto (4)";37;12;25;48;24;24;-11;-3,2;
1014115;"Złoczew - obszar wiejski (5)";36;13;22;50;17;33;-14;-4,1;
1015000;"Powiat skierniewicki";430;259;167;314;180;134;116;3,1;
1015022;"Głuchów (2)";27;15;12;44;22;22;-17;-3,1;
1015032;"Godzianów (2)";24;9;14;16;8;8;8;3,1;
1015042;"Kowiesy (2)";28;9;19;28;12;16;0;0,0;
1015052;"Lipce Reymontowskie (2)";19;10;9;16;8;8;3;1,0;
1015062;"Maków (2)";64;33;31;51;29;22;13;2,2;
1015072;"Nowy Kawęczyn (2)";62;40;21;31;21;10;31;9,1;
1015082;"Skierniewice (2)";148;109;37;85;49;36;63;7,8;
1015092;"Słupia (2)";16;12;4;17;14;3;-1;-0,4;
1016000;"Powiat tomaszowski";923;542;372;1079;539;525;-156;-1,4;
1016011;"Tomaszów Mazowiecki (1)";296;106;182;581;231;339;-285;-4,9;
1016022;"Będków (2)";33;21;12;12;6;6;21;6,7;
1016032;"Budziszewice (2)";10;5;5;20;10;10;-10;-4,8;
1016042;"Czerniewice (2)";33;7;26;44;32;12;-11;-2,3;
1016052;"Inowłódz (2)";63;38;25;42;26;16;21;5,7;
1016062;"Lubochnia (2)";45;23;22;76;45;28;-31;-4,3;
1016072;"Rokiciny (2)";87;63;24;47;31;16;40;6,5;
1016082;"Rzeczyca (2)";31;16;15;49;24;25;-18;-4,1;
1016092;"Tomaszów Mazowiecki (2)";239;206;32;108;88;20;131;11,6;
1016112;"Żelechlinek (2)";12;6;6;27;9;18;-15;-4,8;
1017000;"Powiat wieluński";782;344;426;910;370;527;-128;-1,8;
1017012;"Biała (2)";60;13;46;45;12;33;15;2,8;
1017022;"Czarnożyły (2)";45;16;29;31;14;17;14;3,2;
1017032;"Konopnica (2)";33;10;23;43;17;26;-10;-2,8;
1017042;"Mokrsko (2)";22;8;13;60;20;36;-38;-7,5;
1017052;"Osjaków (2)";57;25;32;27;14;13;30;6,5;
1017062;"Ostrówek (2)";52;21;31;53;25;28;-1;-0,2;
1017072;"Pątnów (2)";62;37;25;78;55;20;-16;-2,6;
1017082;"Skomlin (2)";37;19;18;32;20;12;5;1,6;
1017093;"Wieluń (3)";335;155;171;485;161;318;-150;-5,0;
1017094;"Wieluń - miasto (4)";162;43;113;369;101;265;-207;-10,0;
1017095;"Wieluń - obszar wiejski (5)";173;112;58;116;60;53;57;6,3;
1017102;"Wierzchlas (2)";79;40;38;56;32;24;23;3,6;
1018000;"Powiat wieruszowski";439;197;229;453;184;258;-14;-0,3;
1018012;"Bolesławiec (2)";27;16;11;45;22;23;-18;-4,6;
1018022;"Czastary (2)";49;22;26;27;10;14;22;5,7;
1018032;"Galewice (2)";69;32;36;56;23;32;13;2,1;
1018052;"Łubnice (2)";24;10;14;22;8;13;2;0,5;
1018062;"Sokolniki (2)";72;34;35;47;20;25;25;4,9;
1018073;"Wieruszów (3)";146;53;87;184;75;108;-38;-2,7;
1018074;"Wieruszów - miasto (4)";66;15;47;109;30;79;-43;-5,1;
1018075;"Wieruszów - obszar wiejski (5)";80;38;40;75;45;29;5;0,9;
1019000;"Powiat zduńskowolski";557;333;211;623;283;336;-66;-1,0;
1019011;"Zduńska Wola (1)";229;87;132;408;144;260;-179;-4,6;
1019023;"Szadek (3)";65;38;27;69;36;33;-4;-0,6;
1019024;"Szadek - miasto (4)";14;8;6;18;9;9;-4;-2,3;
1019025;"Szadek - obszar wiejski (5)";51;30;21;51;27;24;0;0,0;
1019032;"Zapolice (2)";92;68;23;48;33;15;44;8,0;
1019042;"Zduńska Wola (2)";171;140;29;98;70;28;73;5,9;
1020000;"Powiat zgierski";2360;1800;513;1622;904;708;738;4,4;
1020011;"Głowno (1)";98;43;54;123;74;48;-25;-1,9;
1020021;"Ozorków (1)";108;61;45;159;69;90;-51;-2,8;
1020031;"Zgierz (1)";479;342;116;527;255;266;-48;-0,9;
1020043;"Aleksandrów Łódzki (3)";769;619;139;310;177;130;459;13,1;
1020044;"Aleksandrów Łódzki - miasto (4)";267;178;85;194;70;121;73;3,3;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";502;441;54;116;107;9;386;29,9;
1020052;"Głowno (2)";32;13;18;60;36;24;-28;-6,0;
1020062;"Ozorków (2)";168;132;35;91;58;33;77;10,7;
1020072;"Parzęczew (2)";89;70;18;57;47;10;32;6,1;
1020083;"Stryków (3)";206;158;42;125;73;52;81;6,2;
1020084;"Stryków - miasto (4)";32;16;14;46;17;29;-14;-4,1;
1020085;"Stryków - obszar wiejski (5)";174;142;28;79;56;23;95;9,9;
1020092;"Zgierz (2)";411;362;46;170;115;55;241;14,9;
1061000;"Powiat m. Łódź";3514;1904;1346;5043;2050;2901;-1529;-2,3;
1061011;"Łódź (1)";3514;1904;1346;5043;2050;2901;-1529;-2,3;
1062000;"Powiat m. Piotrków Trybunalski";434;166;249;717;348;368;-283;-4,2;
1062011;"Piotrków Trybunalski (1)";434;166;249;717;348;368;-283;-4,2;
1063000;"Powiat m. Skierniewice";280;126;148;411;190;219;-131;-2,9;
1063011;"Skierniewice (1)";280;126;148;411;190;219;-131;-2,9;
1200000;"MAŁOPOLSKIE";36968;19067;15613;31756;13595;17285;5212;1,5;
1201000;"Powiat bocheński";1115;524;551;1045;426;586;70;0,7;
1201011;"Bochnia (1)";250;81;163;375;108;242;-125;-4,4;
1201022;"Bochnia (2)";280;165;109;126;74;51;154;7,4;
1201032;"Drwinia (2)";37;16;18;49;24;25;-12;-1,9;
1201042;"Lipnica Murowana (2)";43;15;26;74;30;44;-31;-5,6;
1201052;"Łapanów (2)";86;41;43;53;21;31;33;3,9;
1201063;"Nowy Wiśnicz (3)";166;93;64;162;65;91;4;0,3;
1201064;"Nowy Wiśnicz - miasto (4)";24;10;12;51;20;30;-27;-9,9;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";142;83;52;111;45;61;31;2,6;
1201072;"Rzezawa (2)";162;95;59;107;64;43;55;4,8;
1201082;"Trzciana (2)";59;13;43;53;19;34;6;1,1;
1201092;"Żegocina (2)";32;5;26;46;21;25;-14;-2,5;
1202000;"Powiat brzeski";787;339;394;823;298;500;-36;-0,4;
1202012;"Borzęcin (2)";84;28;47;75;31;44;9;1,1;
1202023;"Brzesko (3)";322;155;148;344;124;219;-22;-0,6;
1202024;"Brzesko - miasto (4)";117;36;71;189;51;137;-72;-4,5;
1202025;"Brzesko - obszar wiejski (5)";205;119;77;155;73;82;50;2,6;
1202033;"Czchów (3)";84;39;39;110;36;55;-26;-2,7;
1202034;"Czchów - miasto (4)";22;9;11;43;12;25;-21;-9,1;
1202035;"Czchów - obszar wiejski (5)";62;30;28;67;24;30;-5;-0,7;
1202042;"Dębno (2)";142;60;70;109;44;60;33;2,3;
1202052;"Gnojnik (2)";78;32;43;70;25;45;8;1,0;
1202062;"Iwkowa (2)";36;13;22;44;14;30;-8;-1,2;
1202072;"Szczurowa (2)";41;12;25;71;24;47;-30;-3,3;
1203000;"Powiat chrzanowski";1049;699;322;1233;688;514;-184;-1,5;
1203013;"Alwernia (3)";160;108;50;117;68;49;43;3,5;
1203014;"Alwernia - miasto (4)";39;21;17;51;32;19;-12;-3,7;
1203015;"Alwernia - obszar wiejski (5)";121;87;33;66;36;30;55;6,0;
1203022;"Babice (2)";94;48;45;64;41;20;30;3,3;
1203033;"Chrzanów (3)";345;246;87;519;274;236;-174;-3,9;
1203034;"Chrzanów - miasto (4)";205;125;69;423;213;203;-218;-6,4;
1203035;"Chrzanów - obszar wiejski (5)";140;121;18;96;61;33;44;4,4;
1203043;"Libiąż (3)";152;95;52;231;136;83;-79;-3,7;
1203044;"Libiąż - miasto (4)";112;73;35;177;110;56;-65;-4,1;
1203045;"Libiąż - obszar wiejski (5)";40;22;17;54;26;27;-14;-2,7;
1203053;"Trzebinia (3)";298;202;88;302;169;126;-4;-0,1;
1203054;"Trzebinia - miasto (4)";162;97;60;179;89;84;-17;-0,9;
1203055;"Trzebinia - obszar wiejski (5)";136;105;28;123;80;42;13;0,9;
1204000;"Powiat dąbrowski";414;137;249;502;235;246;-88;-1,5;
1204012;"Bolesław (2)";33;11;22;24;18;6;9;3,4;
1204023;"Dąbrowa Tarnowska (3)";185;59;113;175;91;83;10;0,5;
1204024;"Dąbrowa Tarnowska - miasto (4)";109;24;77;114;62;51;-5;-0,4;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";76;35;36;61;29;32;15;1,6;
1204032;"Gręboszów (2)";17;7;10;21;5;16;-4;-1,3;
1204042;"Mędrzechów (2)";18;10;7;31;16;15;-13;-3,9;
1204052;"Olesno (2)";36;10;26;57;24;31;-21;-2,7;
1204062;"Radgoszcz (2)";41;18;19;58;22;35;-17;-2,3;
1205000;"Powiat gorlicki";856;367;458;1062;446;583;-206;-2,0;
1205011;"Gorlice (1)";177;46;122;308;89;216;-131;-5,1;
1205023;"Biecz (3)";96;43;49;135;70;65;-39;-2,4;
1205024;"Biecz - miasto (4)";27;8;19;33;15;18;-6;-1,4;
1205025;"Biecz - obszar wiejski (5)";69;35;30;102;55;47;-33;-2,8;
1205042;"Gorlice (2)";169;100;64;141;91;49;28;1,7;
1205052;"Lipinki (2)";49;21;26;62;40;22;-13;-1,9;
1205062;"Łużna (2)";73;32;39;79;37;40;-6;-0,7;
1205072;"Moszczenica (2)";51;20;31;49;16;33;2;0,4;
1205082;"Ropa (2)";36;11;21;50;17;29;-14;-2,5;
1205092;"Sękowa (2)";69;37;30;42;24;18;27;5,5;
1205102;"Uście Gorlickie (2)";45;23;21;91;30;38;-46;-6,8;
1206000;"Powiat krakowski";4948;3552;1258;2620;1482;1100;2328;7,7;
1206012;"Czernichów (2)";166;103;62;116;61;52;50;3,2;
1206022;"Igołomia-Wawrzeńczyce (2)";56;40;16;55;37;17;1;0,1;
1206032;"Iwanowice (2)";120;79;40;76;38;37;44;4,5;
1206042;"Jerzmanowice-Przeginia (2)";113;47;66;106;56;49;7;0,6;
1206052;"Kocmyrzów-Luborzyca (2)";369;267;95;130;84;45;239;13,2;
1206063;"Krzeszowice (3)";337;196;122;233;134;91;104;3,3;
1206064;"Krzeszowice - miasto (4)";104;51;49;93;37;50;11;1,1;
1206065;"Krzeszowice - obszar wiejski (5)";233;145;73;140;97;41;93;4,2;
1206072;"Liszki (2)";263;184;67;124;54;63;139;7,5;
1206082;"Michałowice (2)";302;232;65;126;82;44;176;13,2;
1206092;"Mogilany (2)";298;232;62;167;93;67;131;8,1;
1206103;"Skała (3)";94;66;25;68;36;32;26;2,4;
1206104;"Skała - miasto (4)";23;15;8;15;7;8;8;2,1;
1206105;"Skała - obszar wiejski (5)";71;51;17;53;29;24;18;2,5;
1206113;"Skawina (3)";467;326;129;401;189;211;66;1,5;
1206114;"Skawina - miasto (4)";235;155;74;279;116;162;-44;-1,8;
1206115;"Skawina - obszar wiejski (5)";232;171;55;122;73;49;110;5,5;
1206123;"Słomniki (3)";122;52;66;128;69;58;-6;-0,4;
1206124;"Słomniki - miasto (4)";38;8;29;40;20;20;-2;-0,5;
1206125;"Słomniki - obszar wiejski (5)";84;44;37;88;49;38;-4;-0,4;
1206132;"Sułoszowa (2)";38;20;18;56;20;36;-18;-3,2;
1206143;"Świątniki Górne (3)";151;120;30;104;54;49;47;4,2;
1206144;"Świątniki Górne - miasto (4)";21;17;3;36;20;16;-15;-6,3;
1206145;"Świątniki Górne - obszar wiejski (5)";130;103;27;68;34;33;62;7,1;
1206152;"Wielka Wieś (2)";594;433;133;135;71;63;459;27,5;
1206162;"Zabierzów (2)";601;484;104;263;165;95;338;11,5;
1206172;"Zielonki (2)";857;671;158;332;239;91;525;19,1;
1207000;"Powiat limanowski";1057;362;625;1161;431;706;-104;-0,8;
1207011;"Limanowa (1)";81;13;62;161;50;108;-80;-5,5;
1207021;"Mszana Dolna (1)";84;17;60;74;27;47;10;1,3;
1207032;"Dobra (2)";99;32;64;119;54;65;-20;-2,0;
1207042;"Jodłownik (2)";47;17;26;62;16;46;-15;-1,7;
1207052;"Kamienica (2)";55;23;27;90;27;60;-35;-4,5;
1207062;"Laskowa (2)";61;21;38;78;28;50;-17;-2,1;
1207072;"Limanowa (2)";258;118;125;187;84;103;71;2,7;
1207082;"Łukowica (2)";66;24;38;86;33;45;-20;-2,0;
1207092;"Mszana Dolna (2)";155;55;89;129;54;70;26;1,5;
1207102;"Niedźwiedź (2)";27;9;16;69;25;44;-42;-5,7;
1207112;"Słopnice (2)";83;22;51;34;14;15;49;7,0;
1207122;"Tymbark (2)";41;11;29;72;19;53;-31;-4,9;
1208000;"Powiat miechowski";384;203;175;406;234;169;-22;-0,5;
1208012;"Charsznica (2)";56;36;18;42;20;21;14;2,0;
1208022;"Gołcza (2)";44;26;18;65;33;32;-21;-3,5;
1208032;"Kozłów (2)";36;21;14;34;17;16;2;0,4;
1208053;"Miechów (3)";161;79;80;185;115;69;-24;-1,3;
1208054;"Miechów - miasto (4)";90;34;56;128;77;50;-38;-3,5;
1208055;"Miechów - obszar wiejski (5)";71;45;24;57;38;19;14;1,8;
1208062;"Racławice (2)";19;8;11;10;7;3;9;3,7;
1208072;"Słaboszów (2)";27;14;12;21;13;8;6;1,8;
1209000;"Powiat myślenicki";1425;785;582;1077;442;612;348;2,7;
1209013;"Dobczyce (3)";186;100;76;147;56;91;39;2,5;
1209014;"Dobczyce - miasto (4)";54;17;30;72;19;53;-18;-2,9;
1209015;"Dobczyce - obszar wiejski (5)";132;83;46;75;37;38;57;6,1;
1209022;"Lubień (2)";80;40;33;97;42;38;-17;-1,7;
1209033;"Myślenice (3)";523;316;187;379;165;212;144;3,2;
1209034;"Myślenice - miasto (4)";130;55;72;189;62;126;-59;-3,3;
1209035;"Myślenice - obszar wiejski (5)";393;261;115;190;103;86;203;7,3;
1209042;"Pcim (2)";100;55;42;90;34;56;10;0,9;
1209052;"Raciechowice (2)";75;40;32;53;20;33;22;3,4;
1209062;"Siepraw (2)";153;81;68;66;28;38;87;9,1;
1209073;"Sułkowice (3)";182;111;69;127;48;79;55;3,6;
1209074;"Sułkowice - miasto (4)";45;12;33;76;24;52;-31;-4,8;
1209075;"Sułkowice - obszar wiejski (5)";137;99;36;51;24;27;86;9,9;
1209082;"Tokarnia (2)";57;15;37;62;25;35;-5;-0,6;
1209092;"Wiśniowa (2)";69;27;38;56;24;30;13;1,7;
1210000;"Powiat nowosądecki";1885;836;936;2160;1050;1045;-275;-1,3;
1210011;"Grybów (1)";49;8;38;65;21;44;-16;-2,7;
1210022;"Chełmiec (2)";381;205;150;302;178;123;79;2,7;
1210032;"Gródek nad Dunajcem (2)";55;30;16;82;33;49;-27;-3,0;
1210042;"Grybów (2)";173;88;79;208;99;109;-35;-1,4;
1210052;"Kamionka Wielka (2)";109;65;43;95;64;30;14;1,3;
1210062;"Korzenna (2)";130;48;79;118;40;77;12;0,8;
1210073;"Krynica-Zdrój (3)";110;60;43;216;110;93;-106;-6,8;
1210074;"Krynica-Zdrój - miasto (4)";74;41;28;147;75;61;-73;-7,6;
1210075;"Krynica-Zdrój - obszar wiejski (5)";36;19;15;69;35;32;-33;-5,5;
1210082;"Łabowa (2)";61;20;33;51;22;29;10;1,7;
1210092;"Łącko (2)";121;33;81;163;68;89;-42;-2,5;
1210102;"Łososina Dolna (2)";90;28;60;72;28;37;18;1,6;
1210113;"Muszyna (3)";96;53;38;122;65;43;-26;-2,3;
1210114;"Muszyna - miasto (4)";42;21;21;37;21;12;5;1,1;
1210115;"Muszyna - obszar wiejski (5)";54;32;17;85;44;31;-31;-4,6;
1210122;"Nawojowa (2)";95;43;45;102;66;36;-7;-0,8;
1210133;"Piwniczna-Zdrój (3)";67;23;40;128;51;75;-61;-6,1;
1210134;"Piwniczna-Zdrój - miasto (4)";33;11;20;80;32;47;-47;-8,7;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";34;12;20;48;19;28;-14;-3,1;
1210142;"Podegrodzie (2)";121;37;77;104;51;53;17;1,3;
1210152;"Rytro (2)";25;10;14;39;14;20;-14;-3,8;
1210163;"Stary Sącz (3)";202;85;100;293;140;138;-91;-3,9;
1210164;"Stary Sącz - miasto (4)";86;21;55;101;45;48;-15;-1,7;
1210165;"Stary Sącz - obszar wiejski (5)";116;64;45;192;95;90;-76;-5,1;
1211000;"Powiat nowotarski";1346;509;696;1513;580;822;-167;-0,9;
1211011;"Nowy Targ (1)";202;70;115;283;127;152;-81;-2,5;
1211042;"Czorsztyn (2)";35;14;17;47;20;27;-12;-1,6;
1211052;"Jabłonka (2)";140;30;83;124;43;80;16;0,8;
1211062;"Krościenko nad Dunajcem (2)";59;34;20;63;20;42;-4;-0,6;
1211072;"Lipnica Wielka (2)";52;6;36;70;10;45;-18;-3,0;
1211082;"Łapsze Niżne (2)";39;10;26;45;21;22;-6;-0,6;
1211092;"Nowy Targ (2)";169;78;76;170;62;69;-1;0,0;
1211102;"Ochotnica Dolna (2)";70;40;29;46;20;25;24;2,8;
1211112;"Raba Wyżna (2)";82;26;47;101;42;58;-19;-1,3;
1211123;"Rabka-Zdrój (3)";144;77;56;182;89;92;-38;-2,3;
1211124;"Rabka-Zdrój - miasto (4)";116;62;44;123;61;61;-7;-0,6;
1211125;"Rabka-Zdrój - obszar wiejski (5)";28;15;12;59;28;31;-31;-7,2;
1211132;"Spytkowice (2)";41;8;29;36;15;18;5;1,1;
1211142;"Szaflary (2)";124;60;54;82;28;54;42;3,7;
1212000;"Powiat olkuski";811;471;325;1149;614;529;-338;-3,2;
1212011;"Bukowno (1)";63;50;13;112;66;46;-49;-5,1;
1212032;"Bolesław (2)";72;62;10;49;40;9;23;3,0;
1212042;"Klucze (2)";85;63;20;129;91;38;-44;-3,0;
1212053;"Olkusz (3)";368;189;169;594;281;307;-226;-4,9;
1212054;"Olkusz - miasto (4)";220;86;126;479;209;265;-259;-8,0;
1212055;"Olkusz - obszar wiejski (5)";148;103;43;115;72;42;33;2,5;
1212062;"Trzyciąż (2)";54;32;22;44;24;20;10;1,4;
1212073;"Wolbrom (3)";169;75;91;221;112;109;-52;-2,4;
1212074;"Wolbrom - miasto (4)";49;14;33;104;37;67;-55;-6,8;
1212075;"Wolbrom - obszar wiejski (5)";120;61;58;117;75;42;3;0,2;
1213000;"Powiat oświęcimski";1378;791;555;1520;645;865;-142;-1,0;
1213011;"Oświęcim (1)";206;92;107;398;127;266;-192;-5,4;
1213023;"Brzeszcze (3)";201;93;107;272;125;147;-71;-3,5;
1213024;"Brzeszcze - miasto (4)";102;33;69;142;46;96;-40;-3,7;
1213025;"Brzeszcze - obszar wiejski (5)";99;60;38;130;79;51;-31;-3,2;
1213033;"Chełmek (3)";113;79;32;127;76;50;-14;-1,1;
